"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"Mkrn3",5.803415381761,5.88244698894287,5.8502935347445,5.59218947356971,5.74097522793337,5.20841544568567,7.88219505984026,7.95728783828407,7.77456972348181,7.19407434773463,6.23695528953555,7.01166952101174
"Kcnq5",8.29578494635493,8.91280504845862,8.72593335814405,8.16060868951923,8.09478972465085,7.87303432476747,7.21305140158164,8.06042327497903,7.2546025614779,8.42004344390356,7.09998764066469,7.95876471661203
"Zfpm1",8.86653224570933,8.72520526540012,8.70102829154132,8.55023365067088,8.37293709050782,8.04016234698949,7.70753008209288,7.4933339207887,7.0734342534436,8.05500256956378,7.57229280886766,7.71206007297264
"Samd11",6.01355498969653,5.15420775332405,5.78471051313639,5.86465141538225,6.18218049459338,6.30140202943967,7.16681083953163,7.12937787102149,7.03689617922846,6.86046459221675,7.53999318489682,7.41159596215908
"Mat2a",6.42533364234982,7.4859648836854,5.96678685572641,6.68568426474365,7.42582767104031,7.26821199705371,6.68468836604428,6.52018706065647,5.82209681728188,5.87642590025682,6.09597610895802,6.04824500193821
"Klc3",6.58873652301169,6.53101564337358,6.72192057920982,6.63013074215238,6.84492555430906,7.18816547910965,8.02024844366125,7.45980460190357,8.01479068234501,7.74596586401575,7.8976085759576,7.67377474039424
"Tmem30b",5.81392530541662,5.78349522642003,5.81002679584869,5.93609944510303,5.77315281143268,5.38364391926877,8.42253190857882,7.88230087316222,8.49457601274804,8.20038448630522,8.35064350643304,8.19648346841809
"Klk8",8.62935786823218,8.72127140383867,8.64362308305709,8.14726960198959,8.4283710410785,8.32047372451008,7.94581385413481,7.74221363784616,7.27976641177213,7.89338591463298,7.55495907022943,7.82176421872518
"Mixl1",6.14083635319098,5.49114140966006,5.46966761946727,5.18733278731659,5.53103530638122,6.19087462293908,6.92417978420225,6.77926003689792,6.87523556921705,6.12805569191685,6.04412559068394,6.27060796229366
"Cartpt",7.87142277332773,7.7226740626969,7.31405223720954,7.37872466932785,7.50675713612732,7.94728065710189,11.011249369984,10.4294258246672,10.8751078363078,10.6948492209088,10.4833781212632,10.5044533700307
"Tcfl5",5.85142114735065,5.92995720760051,5.79019869571196,6.26694693138678,5.95717783737509,5.88058762275784,10.3567018039705,10.0383867069289,10.1547536985657,9.7973077640011,9.70207468615499,9.83056318857978
"Mapk12",6.97011232836013,7.09156516991225,7.11646740635525,6.92178415401136,6.96536142734778,7.37139519048767,8.65967635150477,8.29899219972543,8.61034545326049,8.05775955134962,8.32268688082821,8.62484383706277
"Mettl17",6.71636694768446,5.83697889539188,7.36169637175688,8.23097687388363,7.86071566532466,7.79080729164188,7.89741521149523,7.71218240617796,7.42829600576971,8.12807003894168,8.3602626860673,8.25035529096841
"Atp2a3",7.50342976582492,7.29647089777919,7.27472294543744,7.33284105396073,7.67287211088719,7.69689815674963,8.31866378858624,8.43842719907595,8.66523436956897,8.1182906638952,8.18926121085715,8.34084093699351
"Nptx2",9.16955630745919,8.9611804203383,8.8591526560085,12.51140877597,11.8553269398415,12.4150046643412,9.32862243789476,8.90109568106761,8.85346183111128,10.8482219761199,10.9588894753906,10.5426801822211
"Sec61a1",8.6804851170677,8.57808199930647,8.05509603229223,8.6357352202012,8.19650956327311,8.77134713362427,7.34120403928169,7.98633250683307,7.53634285882473,7.6370330016621,7.66333648019248,7.25293198235995
"Irf6",5.79934453986986,5.88848056126976,5.85702680081198,5.7712597574449,5.54111978270236,5.24481685764539,6.81589482755134,6.3026826867303,6.40403052830992,6.37767744968705,6.803180578075,6.76344733678355
