"","WT.sham.1","WT.sham.2","WT.sham.3","WT.isc.1","WT.isc.2","WT.isc.3","Trans.sham.1","Trans.sham.2","Trans.sham.3","Trans.isc.1","Trans.isc.2","Trans.isc.3"
"1426766_at",11.7541024672297,11.628495273168,11.7402553696413,11.1522201348716,11.2577775774145,10.9950598723392,12.164265327374,11.9821883018364,12.0617133768863,11.9014999439959,11.3690623524335,11.6383860987
"1424133_at",9.12450999213401,9.48729457459536,9.37111742010362,8.20556104334725,8.5772091876197,8.7501675462575,8.59834050077036,9.03496986480523,8.88688753467748,8.45333980713628,9.42129381715157,8.34114436306913
"1424767_at",7.35543616328984,7.47435226396328,7.38262190441229,8.2353785305552,7.91926954017716,8.70546981202688,8.86964704942784,8.41442823880783,8.92238322670303,8.64568170281267,9.09708457458339,8.68193513059997
"1434089_at",6.05779435956102,6.51302235891712,6.34398108209172,7.14740828263279,7.04122992468602,7.14556996777947,6.05679688432114,6.46970593266999,6.21863501395104,6.86301356642863,7.15495518764424,7.0916666784926
"1418053_at",10.7399895151749,10.4262225071341,10.6425708981786,10.439582613033,10.6944830568261,10.4168490976596,11.2330202246526,10.8079190547985,11.0628137111628,11.0521403510987,10.8031953735272,11.0525679971315
"1450082_s_at",7.40827621672369,6.67617932933814,6.54034943654617,7.12419206002212,7.16320825601713,7.24250497649978,6.51321586670466,7.03281636961535,6.34888414974788,7.03154521591556,7.14540823012969,7.10176752409888
"1452101_at",8.09245896001006,7.97231353636896,8.33828006286194,8.82528315740874,8.56343536640296,9.20818118770449,8.28817815934896,8.29353370542635,8.25485112467705,8.54772455591816,8.7466039236428,8.78619564898935
"1427918_a_at",10.124251636314,9.9055546174484,9.98351694724659,10.681639309054,10.5344293396501,10.8585030293898,10.0254575389771,9.89851045064753,9.99269180277792,10.157056695251,10.4760024703577,10.4037176346811
"1420719_at",5.898574316332,5.66994922544606,6.19207909809584,6.34512366379557,6.87817274600577,7.1449161987568,6.54374411421869,6.65926105896125,7.0739903680932,7.17357591988352,7.10494323594516,7.41178147412548
"1418889_a_at",6.94331979028077,6.78078914579615,6.93037580684323,7.9056242561668,7.86878580257489,8.08275301536305,7.16461210834246,6.86701299252892,7.30964009609797,8.20134170331446,8.15897243968479,8.03170336317473
"1418361_at",7.08289555806327,6.91938023179257,7.10604727138085,7.45344052344455,7.21979948698184,7.34047480630628,7.48241921013138,7.38131543368037,7.59045520826936,7.63701083566846,7.67672293303888,7.91113679406509
"1417302_at",7.70316049238498,7.51004329811373,7.72016859075185,8.49465063467508,8.32014387569536,8.32911835315065,8.1963746798764,7.87767775758554,7.61639219691164,8.18713031371606,8.34361765761178,8.10934059397465
